Rank,Name,Symbol,marketcap,price (USD),country,Size Category
1,Raytheon Technologies,RTX,141951778816,106.77,United States,Large
2,Honeywell,HON,135772274688,208.5,United States,Large
3,Lockheed Martin,LMT,111267143680,459.11,United States,Large
4,Safran,SAF.PA,93353138308,225.178,France,Medium
5,General Dynamics,GD,81316429824,294.34,United States,Medium
6,Northrop Grumman,NOC,64154087424,427.15,United States,Medium
7,BAE Systems,BA.L,54507198976,17.7671,United Kingdom,Medium
8,L3Harris Technologies,LHX,41760645120,218.97,United States,Small
9,Hindustan Aeronautics,HAL.NS,39198685198,58.6127,India,Small
10,Thales,HO.PA,37300472524,176.725,France,Small
11,Bharat Electronics,BEL.NS,25457859458,3.48271,India,Small
12,Rheinmetall,RHM.F,24199946355,555.7,Germany,Small
13,Dassault Aviation,AM.PA,15700725313,199.87,France,Small
14,Kongsberg Gruppen,KOG.OL,15409852097,86.9851,Norway,Small
15,Leonardo,LDO.MI,14224008998,24.7242,Italy,Small
16,SAAB AB,SAAB-B.ST,13249045950,24.498,Sweden,Small
17,Huntington Ingalls Industries,HII,9726734336,243.29,United States,Small
18,Elbit Systems,ESLT,8274908672,186.05,Israel,Small
19,Aselsan,ASELS.IS,8127738078,1.7824,Turkey,Small
20,Leonardo DRS,DRS,6554867200,24.91,United States,Small
21,Bharat Dynamics,BDL.NS,6246257762,17.0401,India,Small
22,AeroVironment,AVAV,6121484288,217.57,United States,Small
23,Hensoldt,HAG.F,4228421164,36.4698,Germany,Small
24,Indra Sistemas,IDR.MC,3911352455,22.5827,Spain,Small
25,QinetiQ,QQ.L,3329827869,5.83749,United Kingdom,Small
26,Kratos Defense &amp; Security Solutions,KTOS,3104395776,20.46,United States,Small
27,Mercury Systems,MRCY,1792249216,30.2,United States,Small
28,VSE Corporation,VSEC,1555847808,84.5,United States,Small
29,V2X,VVX,1481604992,46.6,United States,Small
30,"Sturm, Ruger &amp; Co",RGR,747207488,42.94,United States,Small
31,Avon Protection,AVON.L,497446736,16.5835,United Kingdom,Small
32,AMMO,POWW,295465888,2.49,United States,Small
33,TAT Technologies,TATT,156677104,15.5,Israel,Small
